restaurant_id,name,city,cuisine,restaurant_type,average_cost,delivery_time,rating,votes,online_order,book_table,cost_category,primary_cuisine
R1042,Restaurant_42,Chandigarh,"Japanese, North Indian",Bakery,1439,87,4.6,4452,Yes,Yes,Luxury,Japanese
R1043,Restaurant_43,Ahmedabad,"Italian, South Indian",Casual Dining,401,55,3.7,2877,Yes,Yes,Moderate,Italian
R1044,Restaurant_44,Chandigarh,"Biryani, Continental",Cafe,647,53,2.5,3554,Yes,Yes,Premium,Biryani
R1045,Restaurant_45,Chennai,North Indian,Cafe,815,40,4.1,4487,Yes,No,Premium,North Indian
R1046,Restaurant_46,Mumbai,Seafood,Beverage Shop,878,16,3.5,81,Yes,No,Premium,Seafood
R1047,Restaurant_47,Kolkata,Seafood,Bakery,367,37,4.0,2578,Yes,No,Moderate,Seafood
R1048,Restaurant_48,Hyderabad,"Seafood, Chinese",Fine Dining,1293,37,4.7,3447,No,No,Luxury,Seafood
R1049,Restaurant_49,Jaipur,Biryani,Fine Dining,1109,30,3.3,2990,Yes,No,Luxury,Biryani
R1050,Restaurant_50,Bengaluru,"Chinese, Italian",Fine Dining,650,23,4.7,1127,No,No,Premium,Chinese
R1051,Restaurant_51,Delhi,"Seafood, Mexican",Casual Dining,1578,27,4.3,2396,Yes,No,Luxury,Seafood
R1052,Restaurant_52,Kolkata,"American, Mughlai, Japanese",Bakery,1774,42,3.5,3518,No,Yes,Luxury,American
R1053,Restaurant_53,Mumbai,"Japanese, American",Bakery,1415,41,3.8,1369,Yes,Yes,Luxury,Japanese
R1054,Restaurant_54,Jaipur,"Mexican, Chinese",Fine Dining,1687,65,3.0,4769,No,No,Luxury,Mexican
R1055,Restaurant_55,Kolkata,Italian,Fine Dining,1922,78,5.0,1525,Yes,No,Luxury,Italian
R1056,Restaurant_56,Mumbai,"Continental, Italian",Beverage Shop,1924,66,4.0,49,No,Yes,Luxury,Continental
R1057,Restaurant_57,Pune,"Biryani, Italian",Quick Bites,1264,52,2.1,1392,No,No,Luxury,Biryani
R1058,Restaurant_58,Pune,"Chinese, Thai, Italian",Quick Bites,1269,79,3.0,2040,Yes,No,Luxury,Chinese
R1059,Restaurant_59,Chandigarh,"North Indian, Italian",Cafe,1548,32,3.9,2631,Yes,Yes,Luxury,North Indian
R1060,Restaurant_60,Kolkata,"American, Biryani, Thai",Cafe,413,77,2.2,1910,No,No,Moderate,American
R1061,Restaurant_61,Pune,"Chinese, Seafood, South Indian",Bakery,283,65,2.1,2227,Yes,No,Moderate,Chinese
R1062,Restaurant_62,Mumbai,Italian,Bakery,1787,23,3.4,4806,Yes,No,Luxury,Italian
R1063,Restaurant_63,Chandigarh,Biryani,Casual Dining,812,27,3.0,4616,No,Yes,Premium,Biryani
R1064,Restaurant_64,Mumbai,Chinese,Casual Dining,227,54,3.3,1293,Yes,No,Moderate,Chinese
R1065,Restaurant_65,Chandigarh,"Chinese, Japanese, American",Quick Bites,1410,69,2.8,593,Yes,No,Luxury,Chinese
R1066,Restaurant_66,Kolkata,Continental,Cafe,1946,57,2.5,468,Yes,No,Luxury,Continental
R1067,Restaurant_67,Jaipur,"American, Mughlai",Quick Bites,1376,58,4.1,2275,No,No,Luxury,American
R1068,Restaurant_68,Hyderabad,"Seafood, Italian",Quick Bites,1901,82,3.5,2676,Yes,Yes,Luxury,Seafood
R1069,Restaurant_69,Ahmedabad,"Biryani, Japanese",Cafe,799,47,2.6,825,Yes,No,Premium,Biryani
R1070,Restaurant_70,Jaipur,"Mughlai, Italian, Mexican",Casual Dining,485,38,3.0,2521,Yes,Yes,Moderate,Mughlai
R1071,Restaurant_71,Chennai,Thai,Beverage Shop,1353,50,3.8,256,No,No,Luxury,Thai
R1072,Restaurant_72,Mumbai,"Thai, Italian, Biryani",Beverage Shop,370,24,2.2,4835,Yes,No,Moderate,Thai
R1073,Restaurant_73,Chennai,"American, Chinese, North Indian",Beverage Shop,1894,34,2.4,426,Yes,No,Luxury,American
R1074,Restaurant_74,Jaipur,Continental,Cafe,910,89,2.2,4473,Yes,No,Premium,Continental
R1075,Restaurant_75,Chandigarh,"Continental, Biryani, Seafood",Fine Dining,514,26,4.4,3727,No,No,Premium,Continental
R1076,Restaurant_76,Ahmedabad,"Italian, North Indian, Continental",Fine Dining,297,76,4.3,117,No,Yes,Moderate,Italian
R1077,Restaurant_77,Ahmedabad,"American, Japanese",Fine Dining,1446,32,4.3,2641,Yes,No,Luxury,American
R1078,Restaurant_78,Delhi,"Biryani, Mughlai, Mexican",Bakery,1179,77,4.1,848,Yes,Yes,Luxury,Biryani
R1079,Restaurant_79,Ahmedabad,"Seafood, Biryani, North Indian",Casual Dining,930,39,4.0,4523,No,No,Premium,Seafood
R1080,Restaurant_80,Hyderabad,"American, Thai",Casual Dining,1326,26,3.4,4926,Yes,Yes,Luxury,American
R1081,Restaurant_81,Ahmedabad,"Continental, Mexican, South Indian",Bakery,1906,35,3.9,1431,Yes,No,Luxury,Continental
R1082,Restaurant_82,Jaipur,"Mughlai, Seafood, Italian",Quick Bites,1744,39,2.1,4788,No,No,Luxury,Mughlai
R1083,Restaurant_83,Delhi,Mughlai,Beverage Shop,727,25,3.9,3922,No,No,Premium,Mughlai
R1084,Restaurant_84,Jaipur,"South Indian, American, Mexican",Fine Dining,703,78,4.3,265,Yes,Yes,Premium,South Indian
R1085,Restaurant_85,Jaipur,"Mexican, Thai, American",Beverage Shop,1261,87,3.5,2837,Yes,No,Luxury,Mexican
R1086,Restaurant_86,Bengaluru,"Biryani, Japanese, Continental",Fine Dining,1545,64,3.1,847,Yes,No,Luxury,Biryani
R1087,Restaurant_87,Delhi,American,Beverage Shop,1938,76,2.8,2972,Yes,No,Luxury,American
R1088,Restaurant_88,Jaipur,Japanese,Quick Bites,1180,63,3.9,2292,No,No,Luxury,Japanese
R1089,Restaurant_89,Bengaluru,"Mexican, Thai",Beverage Shop,1685,28,4.1,562,No,No,Luxury,Mexican
R1090,Restaurant_90,Bengaluru,Biryani,Beverage Shop,1109,15,4.6,190,No,No,Luxury,Biryani
R1091,Restaurant_91,Delhi,Mexican,Cafe,170,39,3.0,4262,Yes,Yes,Budget,Mexican
R1092,Restaurant_92,Chennai,"Biryani, Mughlai, Chinese",Beverage Shop,1010,73,4.3,1487,Yes,No,Luxury,Biryani
R1093,Restaurant_93,Chandigarh,"Japanese, Chinese, Mughlai",Cafe,693,86,3.7,580,Yes,No,Premium,Japanese
R1094,Restaurant_94,Hyderabad,"Chinese, North Indian",Casual Dining,1495,83,4.6,4962,Yes,No,Luxury,Chinese
R1095,Restaurant_95,Chandigarh,"Biryani, Chinese, Seafood",Bakery,1740,19,3.6,1737,No,Yes,Luxury,Biryani
R1096,Restaurant_96,Ahmedabad,"North Indian, Continental",Beverage Shop,699,33,3.6,601,Yes,No,Premium,North Indian
R1097,Restaurant_97,Hyderabad,"Japanese, American",Casual Dining,613,37,3.7,4526,Yes,No,Premium,Japanese
R1098,Restaurant_98,Ahmedabad,Chinese,Cafe,1995,23,4.2,2270,Yes,Yes,Luxury,Chinese
R1099,Restaurant_99,Jaipur,"Continental, Biryani",Beverage Shop,183,64,4.9,2957,No,No,Budget,Continental
R1100,Restaurant_100,Mumbai,"Japanese, Biryani",Beverage Shop,1093,30,2.2,357,No,Yes,Luxury,Japanese
R1101,Restaurant_101,Delhi,"American, Biryani, Japanese",Quick Bites,1166,47,2.2,175,No,Yes,Luxury,American
R1102,Restaurant_102,Hyderabad,"Thai, South Indian",Casual Dining,1789,16,4.8,4453,Yes,No,Luxury,Thai
R1103,Restaurant_103,Hyderabad,"Thai, Biryani, Japanese",Fine Dining,938,28,3.6,2906,Yes,No,Premium,Thai
R1104,Restaurant_104,Jaipur,Biryani,Fine Dining,705,15,3.8,4503,Yes,Yes,Premium,Biryani
R1105,Restaurant_105,Chennai,"Continental, Mexican",Quick Bites,909,72,3.4,592,Yes,No,Premium,Continental
R1106,Restaurant_106,Bengaluru,Mexican,Cafe,232,30,2.3,3516,Yes,No,Moderate,Mexican
R1107,Restaurant_107,Jaipur,"Thai, Chinese, Continental",Fine Dining,1518,61,4.3,4413,Yes,No,Luxury,Thai
R1108,Restaurant_108,Pune,"Seafood, American, Mexican",Fine Dining,1188,58,4.2,3048,Yes,No,Luxury,Seafood
R1109,Restaurant_109,Bengaluru,"Mexican, Italian, Thai",Bakery,389,28,2.9,2855,Yes,No,Moderate,Mexican
R1110,Restaurant_110,Delhi,"Seafood, American, Continental",Casual Dining,475,38,2.9,2776,Yes,No,Moderate,Seafood
R1111,Restaurant_111,Bengaluru,"American, Seafood",Cafe,868,69,4.5,4204,Yes,Yes,Premium,American
R1112,Restaurant_112,Chennai,"Mexican, Continental",Beverage Shop,566,29,2.2,1275,Yes,No,Premium,Mexican
R1113,Restaurant_113,Bengaluru,"Chinese, Thai, Italian",Casual Dining,1336,86,4.6,4263,Yes,No,Luxury,Chinese
R1114,Restaurant_114,Delhi,North Indian,Cafe,1271,48,2.8,4659,Yes,No,Luxury,North Indian
R1115,Restaurant_115,Chennai,"Seafood, Italian",Fine Dining,1696,16,3.8,4756,Yes,Yes,Luxury,Seafood
R1116,Restaurant_116,Chandigarh,"Continental, Biryani",Bakery,570,41,4.8,2977,No,No,Premium,Continental
R1117,Restaurant_117,Hyderabad,"Mexican, Biryani, Italian",Casual Dining,248,88,4.0,2284,No,Yes,Moderate,Mexican
R1118,Restaurant_118,Hyderabad,North Indian,Fine Dining,187,86,3.2,2480,Yes,No,Budget,North Indian
R1119,Restaurant_119,Ahmedabad,"Seafood, Biryani, North Indian",Cafe,1447,37,4.1,2300,Yes,Yes,Luxury,Seafood
R1120,Restaurant_120,Chandigarh,"Thai, Mexican, North Indian",Casual Dining,495,82,3.0,2587,Yes,No,Moderate,Thai
R1121,Restaurant_121,Chandigarh,"Seafood, American",Beverage Shop,889,28,2.8,3670,No,No,Premium,Seafood
R1122,Restaurant_122,Bengaluru,"Italian, Chinese",Casual Dining,1527,77,5.0,1078,No,No,Luxury,Italian
R1123,Restaurant_123,Hyderabad,"Japanese, Italian",Fine Dining,1205,79,4.3,2746,Yes,Yes,Luxury,Japanese
R1124,Restaurant_124,Delhi,Italian,Casual Dining,1764,82,3.9,4839,Yes,Yes,Luxury,Italian
R1125,Restaurant_125,Kolkata,Seafood,Beverage Shop,1409,77,3.1,1960,Yes,Yes,Luxury,Seafood
R1126,Restaurant_126,Kolkata,"Biryani, Continental",Bakery,1505,78,2.1,101,Yes,Yes,Luxury,Biryani
R1127,Restaurant_127,Chennai,"American, Japanese, Biryani",Bakery,964,46,2.1,3103,Yes,No,Premium,American
R1128,Restaurant_128,Hyderabad,Thai,Fine Dining,1915,27,3.7,2229,Yes,Yes,Luxury,Thai
R1129,Restaurant_129,Hyderabad,"Biryani, Japanese, Mughlai",Cafe,1393,80,4.3,1397,Yes,No,Luxury,Biryani
R1130,Restaurant_130,Kolkata,"Biryani, Japanese, South Indian",Fine Dining,1415,33,3.6,4284,Yes,Yes,Luxury,Biryani
R1131,Restaurant_131,Hyderabad,"Biryani, Thai, Continental",Bakery,1576,38,4.5,2295,No,No,Luxury,Biryani
R1132,Restaurant_132,Bengaluru,American,Quick Bites,1838,25,2.1,3216,No,No,Luxury,American
R1133,Restaurant_133,Pune,"Seafood, Chinese",Quick Bites,123,73,3.1,2934,Yes,Yes,Budget,Seafood
R1134,Restaurant_134,Mumbai,"Continental, South Indian, Chinese",Casual Dining,1055,29,2.7,289,Yes,No,Luxury,Continental
R1135,Restaurant_135,Chandigarh,"Biryani, American",Beverage Shop,1986,24,3.3,1628,Yes,Yes,Luxury,Biryani
R1136,Restaurant_136,Ahmedabad,"Chinese, American",Casual Dining,410,55,2.2,2797,Yes,Yes,Moderate,Chinese
R1137,Restaurant_137,Chennai,"Seafood, Continental",Quick Bites,1584,41,4.9,380,Yes,No,Luxury,Seafood
R1138,Restaurant_138,Pune,Seafood,Bakery,1331,74,2.7,3193,Yes,No,Luxury,Seafood
R1139,Restaurant_139,Kolkata,"American, Chinese, Japanese",Casual Dining,1915,87,4.8,3844,No,No,Luxury,American
R1140,Restaurant_140,Chandigarh,South Indian,Fine Dining,1840,66,3.3,1713,Yes,No,Luxury,South Indian
R1141,Restaurant_141,Hyderabad,"Japanese, Mexican",Beverage Shop,763,42,5.0,2278,Yes,No,Premium,Japanese
R1142,Restaurant_142,Ahmedabad,South Indian,Fine Dining,537,79,3.7,313,Yes,No,Premium,South Indian
R1143,Restaurant_143,Hyderabad,Mexican,Beverage Shop,1661,31,4.8,3784,Yes,No,Luxury,Mexican
R1144,Restaurant_144,Delhi,Mexican,Bakery,805,58,2.0,1358,Yes,No,Premium,Mexican
R1145,Restaurant_145,Delhi,"Italian, Biryani, Mexican",Casual Dining,1459,24,4.2,2432,No,Yes,Luxury,Italian
R1146,Restaurant_146,Ahmedabad,"Thai, Continental, Biryani",Beverage Shop,521,77,4.7,3638,No,Yes,Premium,Thai
R1147,Restaurant_147,Ahmedabad,"Chinese, South Indian, Thai",Fine Dining,1873,61,2.4,2438,Yes,No,Luxury,Chinese
R1148,Restaurant_148,Kolkata,"North Indian, Biryani",Casual Dining,420,52,2.3,3043,Yes,No,Moderate,North Indian
R1149,Restaurant_149,Ahmedabad,"Italian, American",Casual Dining,1620,84,3.3,678,No,Yes,Luxury,Italian
R1150,Restaurant_150,Bengaluru,"Italian, Chinese, South Indian",Fine Dining,686,67,4.8,509,Yes,No,Premium,Italian
R1151,Restaurant_151,Hyderabad,Japanese,Quick Bites,1046,58,3.6,1424,No,Yes,Luxury,Japanese
R1152,Restaurant_152,Pune,Japanese,Beverage Shop,1286,88,3.6,539,Yes,No,Luxury,Japanese
R1153,Restaurant_153,Jaipur,Chinese,Fine Dining,1934,68,2.4,3631,Yes,Yes,Luxury,Chinese
R1154,Restaurant_154,Ahmedabad,Chinese,Bakery,1664,34,2.0,3466,Yes,No,Luxury,Chinese
R1155,Restaurant_155,Chennai,"Biryani, Mughlai, American",Cafe,1288,45,4.4,764,Yes,No,Luxury,Biryani
R1156,Restaurant_156,Delhi,South Indian,Fine Dining,948,21,2.3,2357,No,Yes,Premium,South Indian
R1157,Restaurant_157,Bengaluru,"Mexican, Biryani, Seafood",Casual Dining,1821,72,3.9,4920,Yes,No,Luxury,Mexican
R1158,Restaurant_158,Chandigarh,"North Indian, Italian, Biryani",Casual Dining,1689,24,4.7,736,Yes,No,Luxury,North Indian
R1159,Restaurant_159,Jaipur,Italian,Fine Dining,1418,24,2.6,4836,Yes,Yes,Luxury,Italian
R1160,Restaurant_160,Pune,"Italian, Mughlai",Cafe,141,53,4.0,4933,No,Yes,Budget,Italian
R1161,Restaurant_161,Jaipur,"Biryani, Mexican",Fine Dining,1408,42,2.2,2659,Yes,Yes,Luxury,Biryani
R1162,Restaurant_162,Ahmedabad,"North Indian, Biryani",Cafe,1038,44,3.8,2056,No,No,Luxury,North Indian
R1163,Restaurant_163,Kolkata,Continental,Cafe,486,51,2.5,2825,Yes,No,Moderate,Continental
R1164,Restaurant_164,Delhi,Japanese,Bakery,1261,81,4.2,884,Yes,Yes,Luxury,Japanese
R1165,Restaurant_165,Delhi,Continental,Beverage Shop,1310,57,2.9,3289,Yes,No,Luxury,Continental
R1166,Restaurant_166,Chandigarh,American,Casual Dining,1009,66,3.4,2994,Yes,Yes,Luxury,American
R1167,Restaurant_167,Kolkata,Mexican,Casual Dining,815,70,3.8,2188,Yes,No,Premium,Mexican
R1168,Restaurant_168,Hyderabad,"Japanese, Italian",Cafe,530,82,2.5,3817,Yes,Yes,Premium,Japanese
R1169,Restaurant_169,Mumbai,Mughlai,Casual Dining,653,23,4.2,617,Yes,No,Premium,Mughlai
R1170,Restaurant_170,Bengaluru,Japanese,Quick Bites,1985,37,2.9,644,Yes,No,Luxury,Japanese
R1171,Restaurant_171,Delhi,"Mexican, Biryani, North Indian",Cafe,1539,77,4.0,4589,Yes,No,Luxury,Mexican
R1172,Restaurant_172,Chennai,"South Indian, Biryani, Chinese",Casual Dining,899,75,2.5,2737,Yes,No,Premium,South Indian
R1173,Restaurant_173,Delhi,Seafood,Quick Bites,525,54,4.1,1084,No,No,Premium,Seafood
R1174,Restaurant_174,Jaipur,"Thai, American, Japanese",Bakery,1539,58,2.4,1924,Yes,Yes,Luxury,Thai
R1175,Restaurant_175,Delhi,"American, Mughlai, Continental",Casual Dining,125,38,3.3,598,No,No,Budget,American
R1176,Restaurant_176,Delhi,"Thai, Seafood, South Indian",Quick Bites,1494,65,2.7,3241,Yes,No,Luxury,Thai
R1177,Restaurant_177,Mumbai,"Japanese, Chinese",Fine Dining,484,72,4.2,2314,Yes,No,Moderate,Japanese
R1178,Restaurant_178,Mumbai,"Italian, South Indian, American",Beverage Shop,155,47,2.8,3848,Yes,No,Budget,Italian
R1179,Restaurant_179,Pune,"Biryani, Continental, Mexican",Fine Dining,1376,30,4.6,1983,Yes,No,Luxury,Biryani
R1180,Restaurant_180,Hyderabad,"American, Mughlai",Quick Bites,733,36,4.7,2065,Yes,No,Premium,American
R1181,Restaurant_181,Chennai,"Biryani, Chinese",Cafe,205,71,2.6,3490,Yes,Yes,Moderate,Biryani
R1182,Restaurant_182,Delhi,"Italian, Seafood, American",Cafe,1253,76,3.8,2089,Yes,No,Luxury,Italian
R1183,Restaurant_183,Delhi,"Thai, Continental, Mexican",Casual Dining,948,85,2.3,3062,Yes,No,Premium,Thai
R1184,Restaurant_184,Bengaluru,"Chinese, North Indian, Japanese",Fine Dining,769,86,3.2,4492,No,No,Premium,Chinese
R1185,Restaurant_185,Mumbai,Continental,Cafe,475,84,4.1,1261,No,No,Moderate,Continental
R1186,Restaurant_186,Chennai,"Continental, Thai, Mexican",Cafe,842,44,4.0,3805,Yes,No,Premium,Continental
R1187,Restaurant_187,Chandigarh,"Chinese, American, Seafood",Fine Dining,1066,37,3.9,3832,Yes,Yes,Luxury,Chinese
R1188,Restaurant_188,Pune,Chinese,Bakery,407,46,2.8,4312,No,No,Moderate,Chinese
R1189,Restaurant_189,Hyderabad,North Indian,Cafe,190,71,3.1,3399,No,No,Budget,North Indian
R1190,Restaurant_190,Kolkata,"Mexican, Biryani, South Indian",Beverage Shop,1516,23,2.3,1790,Yes,No,Luxury,Mexican
R1191,Restaurant_191,Hyderabad,"Chinese, North Indian",Quick Bites,1657,45,4.2,2614,Yes,Yes,Luxury,Chinese
R1192,Restaurant_192,Jaipur,Mughlai,Casual Dining,901,85,3.5,3698,No,Yes,Premium,Mughlai
R1193,Restaurant_193,Delhi,"Seafood, Japanese, Thai",Cafe,209,23,4.1,4898,No,Yes,Moderate,Seafood
R1194,Restaurant_194,Pune,"Chinese, South Indian, Mughlai",Beverage Shop,1684,27,2.7,1734,Yes,No,Luxury,Chinese
R1195,Restaurant_195,Jaipur,"Biryani, Mexican, Mughlai",Beverage Shop,1764,72,3.0,2794,Yes,No,Luxury,Biryani
R1196,Restaurant_196,Chennai,"South Indian, Mexican",Cafe,684,17,3.0,3729,No,Yes,Premium,South Indian
R1197,Restaurant_197,Kolkata,"South Indian, Thai",Bakery,439,49,2.1,1687,No,No,Moderate,South Indian
R1198,Restaurant_198,Mumbai,Thai,Quick Bites,1688,35,3.0,458,No,No,Luxury,Thai
R1199,Restaurant_199,Pune,Japanese,Casual Dining,1078,78,4.4,4697,No,No,Luxury,Japanese
R1200,Restaurant_200,Pune,Mughlai,Cafe,455,66,4.7,91,Yes,Yes,Moderate,Mughlai
R1201,Restaurant_201,Delhi,"North Indian, Mexican, Biryani",Casual Dining,267,48,3.6,1416,No,No,Moderate,North Indian
R1202,Restaurant_202,Ahmedabad,Biryani,Fine Dining,656,49,3.4,1490,Yes,Yes,Premium,Biryani
R1203,Restaurant_203,Pune,"Seafood, South Indian",Beverage Shop,1575,29,2.1,1089,No,No,Luxury,Seafood
R1204,Restaurant_204,Bengaluru,"Continental, Japanese, Thai",Beverage Shop,1004,20,4.6,3608,Yes,Yes,Luxury,Continental
R1205,Restaurant_205,Kolkata,"Mughlai, Continental",Cafe,204,46,2.0,4524,No,No,Moderate,Mughlai
R1206,Restaurant_206,Kolkata,"South Indian, Biryani",Cafe,249,66,4.8,4193,Yes,No,Moderate,South Indian
R1207,Restaurant_207,Bengaluru,American,Fine Dining,245,42,3.5,3690,Yes,Yes,Moderate,American
R1208,Restaurant_208,Chandigarh,"South Indian, Japanese",Bakery,815,78,3.0,2713,Yes,Yes,Premium,South Indian
R1209,Restaurant_209,Bengaluru,"Italian, Seafood",Cafe,973,33,4.8,4320,Yes,No,Premium,Italian
R1210,Restaurant_210,Bengaluru,Continental,Beverage Shop,398,29,2.1,3766,No,No,Moderate,Continental
R1211,Restaurant_211,Kolkata,"Chinese, South Indian",Casual Dining,1290,20,3.7,1768,No,No,Luxury,Chinese
R1212,Restaurant_212,Hyderabad,Seafood,Quick Bites,1836,87,3.6,2609,Yes,Yes,Luxury,Seafood
R1213,Restaurant_213,Kolkata,"Biryani, Chinese",Casual Dining,745,52,2.7,2560,Yes,Yes,Premium,Biryani
R1214,Restaurant_214,Ahmedabad,"Seafood, Continental, North Indian",Bakery,822,40,3.3,3863,No,No,Premium,Seafood
R1215,Restaurant_215,Delhi,Continental,Quick Bites,1171,65,4.0,2756,No,Yes,Luxury,Continental
R1216,Restaurant_216,Jaipur,"Biryani, Mexican",Casual Dining,737,87,4.2,2302,No,No,Premium,Biryani
R1217,Restaurant_217,Hyderabad,"North Indian, Thai, Japanese",Casual Dining,338,67,2.0,1511,No,Yes,Moderate,North Indian
R1218,Restaurant_218,Mumbai,"Italian, Chinese",Fine Dining,1130,70,4.8,4414,No,No,Luxury,Italian
R1219,Restaurant_219,Jaipur,"Mexican, American",Bakery,563,73,2.5,240,Yes,Yes,Premium,Mexican
R1220,Restaurant_220,Delhi,"Biryani, Japanese, Continental",Beverage Shop,552,84,2.7,4260,No,Yes,Premium,Biryani
R1221,Restaurant_221,Ahmedabad,"Continental, Seafood, American",Fine Dining,883,72,2.8,1208,Yes,No,Premium,Continental
R1222,Restaurant_222,Ahmedabad,South Indian,Quick Bites,996,27,2.1,124,No,No,Premium,South Indian
R1223,Restaurant_223,Mumbai,South Indian,Beverage Shop,470,57,2.4,1423,No,Yes,Moderate,South Indian
R1224,Restaurant_224,Hyderabad,Thai,Fine Dining,1672,65,5.0,4416,Yes,Yes,Luxury,Thai
R1225,Restaurant_225,Chandigarh,"Continental, Mughlai",Bakery,586,33,2.9,1002,Yes,Yes,Premium,Continental
